user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
HrNxt.com,India,"https://t.co/Mh8prN8VbJ hosts news and insights about people, work, and workplaces.",25-03-2011 13:46,87,21,26,False,18-08-2020 11:12,"Biocon Executive Chairperson Kiran Mazumdar Shaw contracts coronavirus, informs on Twitter… https://t.co/eojjwPsw11",,Twitter Web App,False
Mohammadali Naseri,TEHRAN,MSc in Numerical Analysis from the Kharazmi University of Tehran.,02-02-2018 17:20,4,88,90,False,18-08-2020 11:04,"it’s over?!

#Covid19Millionares #covid19 
#corona #CovidVaccine","['Covid19Millionares', 'covid19', 'corona', 'CovidVaccine']",Twitter for iPhone,False
LabTwin - Voice & AI-powered digital lab assistant,"Berlin, Germany","Faster, easier lab documentation with the world's first digital lab assistant.

Blog & newsletter: https://t.co/G4piTzoEsi
Request a demo: https://t.co/2Q689DbmnM
#labofthefuture",05-11-2018 21:14,239,693,180,False,18-08-2020 11:02,"Great news: @pfizer's vaccine has entered Phase 3 trial. Read more: https://t.co/pdQjLj3CVZ

#Pharmaceutical… https://t.co/ogZ2iMPdwP",['Pharmaceutical'],Hootsuite Inc.,False
BioDrivers,"Surat, Gujarat","The blog primarily attempts to bring out some general processes, interesting concepts and phenomenons happening in and around our body.",30-09-2015 11:32,50,609,311,False,18-08-2020 10:46,"Is more dangerous yet to come?
#CovidVaccine #Corona #Immunization #CoronavirusPandemic #mutation #D614GVirus 
D614… https://t.co/PxwPLlt67w","['CovidVaccine', 'Corona', 'Immunization', 'CoronavirusPandemic', 'mutation', 'D614GVirus']",Twitter Web App,False
Live sport is back!,,Sport is the elixir of life!,31-03-2009 08:14,147,351,482,False,18-08-2020 10:39,The whole narrative on the #CovidVaccine has gone deathly silent! #ChinaVirus #COVID19India,"['CovidVaccine', 'ChinaVirus', 'COVID19India']",Twitter Web App,False
moneycontrol,Mumbai,"Moneycontrol is India’s No. 1 financial portal. Tune in for breaking news, in-depth analyses, best investment tools. Get #MCPro for exclusive content & benefits",26-08-2009 07:55,904607,288,985,True,18-08-2020 10:38,".@SerumInstIndia is looking to raise up to $1 billion (around Rs 7,500 crore) for Covid-19 vaccine development. Det… https://t.co/LTXSkBcI90",,Twitter Web App,False
Ravi Prakash Singh,"Ponda, Goa","Life is all about Problem Solving.
                     
Undergrad 👨‍🎓 | IIT Goa | Mathematics And Computing",04-06-2019 01:56,12,161,635,False,18-08-2020 10:36,"Global Vaccine Tracker

#vaccines #CovidVaccine https://t.co/hzhwKSUfV7","['vaccines', 'CovidVaccine']",Twitter Web App,False
Duvar English,"İstanbul, Türkiye",Turkey's own independent gazette,18-10-2019 09:17,17401,1,13,False,18-08-2020 09:49,CORONAVIRUS UPDATES - American businessman with Turkish-Armenian roots leads COVID-19 vaccine development… https://t.co/EsBS5MC4kW,,Twitter for iPhone,False
neonatal2k20,"Hyderabad, India","Meet🤝, organize👨‍💻, & see new logical advancements. Participate in this upcoming #Pediatrics 🤱& #Neonatology 👶event to witness valuable scientific discussions⚡️",21-12-2017 17:22,591,1464,383,False,18-08-2020 09:13,Attend #webinar on #pediatrics #neonatology and #primarycare #conference and get #internationalcertificate!!! Also… https://t.co/xgE2ZPCCUT,"['webinar', 'pediatrics', 'neonatology', 'primarycare', 'conference', 'internationalcertificate']",Twitter Web App,False
Kumar Yuvraj,"Hazaribag, India","INDIAN🇮🇳


Student forever ☮️









































































You are remembered for the rules you break!!",13-04-2020 05:29,19,28,367,False,18-08-2020 09:10,"Russia made world's first #covid19 vaccine..

Thank god, its not as ineffective as the first thing we adopted from… https://t.co/xWLl5QJLZa",['covid19'],Twitter for Android,False
Imran,Chennai,Software | Tech | Cricket | Chennai - India,14-03-2009 09:07,584,651,371,False,18-08-2020 08:52,"Search chennai corona affected street or area wise https://t.co/eqIPQlcCoP 

#CovidVaccine #Covid19Chennai #COVID19… https://t.co/atfmdDFHrQ","['CovidVaccine', 'Covid19Chennai', 'COVID19']",Twitter Web App,False
JPIMedia Design Hub,Sheffield & Leeds,Homepage of the JPIMedia Editorial Design Hub in Sheffield and Leeds. Showcasing great design and content from across the group. #TrustTheHub,14-11-2014 13:38,638,681,251,False,18-08-2020 08:00,"How will be vaccinate the world?
#vacine #vaccinate #coronavirus
#covidvaccine 
Source: @BBCNews Design: Mark Hall https://t.co/lagiNuN9Zb","['vacine', 'vaccinate', 'coronavirus', 'covidvaccine']",TweetDeck,False
Philip John Brown,Perth WA Australia,"Geologist. Want to crackdown on Parliamentary Entitlements, Politicians Superannuation, and Corruption. Want to become an independent member of Parliament.",16-11-2017 17:19,2435,5001,16226,False,18-08-2020 07:46,"Nearly 500 deaths, most with the second wave of #coronavirus #COVIDVIC19 and it's appears that other waves are poss… https://t.co/slh5lY8i9D","['coronavirus', 'COVIDVIC19']",Twitter for Android,False
See Latest,,"Breaking News, Bollywood, Latest Political News, National, Sports, Entertainment, Education, Technology & Daily Events
#CoronavirusVaccine",18-12-2017 03:27,230,0,8217,False,18-08-2020 07:32,"Coronavirus India Update: Active confirmed cases 673166, deaths 51797, See State Wise List

#CoronavirusIndia… https://t.co/JNg4bBCXkw",['CoronavirusIndia'],TweetDeck,False
Oneindia News,India,"https://t.co/b2BCDYhPGV is a gamut of online resources. From breaking stories, top news, current affairs to sports update, movies & entertainment.",16-12-2008 09:44,63491,665,360,True,18-08-2020 07:30,"#covid19: #Pune study shows seroprevalence of antibodies in 51.5% samples

#COVID19India #CovidVaccine… https://t.co/fPRQAfOSxu","['covid19', 'Pune', 'COVID19India', 'CovidVaccine']",Twitter Web App,False
Yash Tiwari Speaks,India,18 Years Old | 4 TED Talks | Josh Talk | Awarded Author Of 2 Novels | National Record Holder | International Youth Mentor,27-05-2020 12:40,38,13,32,False,18-08-2020 07:26,"🌟 @AmarUjalaNews Featured Me Today For Being Awarded By The Prestigious INDIA BOOK OF RECORDS On PANDEMIC 2020, Wor… https://t.co/GXsgQfs0VT",,Twitter for Android,False
MK Mania Social News Tv,,Social News TV,14-07-2020 14:23,2,7,33,False,18-08-2020 07:20,ISLAMABAD: Pakistan has begun phase III of the clinical trial of a COVID-19 vaccine candidate in the country after… https://t.co/mhkNCRs9wg,,Twitter for iPhone,False
World School of Bangladesh,Bangladesh,An online education platform to provide world-class quality education for all Bangladeshi students.,10-08-2020 03:43,9,61,4,False,18-08-2020 07:04,"COVID-19 Vocabulary English: Incubation Period.
Click here : https://t.co/1MmQsmjFSR via @YouTube 

#COVID19… https://t.co/NfFQiw9cw3",['COVID19'],Twitter Web App,False
Dorjay Namgial,,Our life is replete with peculiarity and amidst this peculiarity we find love ❤,27-06-2020 10:58,17,25,23,False,18-08-2020 06:51,"Lymphocyte is a type of white blood cell which is of two types- B-Cell and T-Cell.
B- cells have the ability to pro… https://t.co/GLBzzDW9L2",,Twitter for Android,False
traceydoesrhymetime,,"I am not a chatter, I am a rhymer, expressing my word...On occasion a little absurd 😳 On Instagram also, with over 250 poems!",25-02-2020 20:28,1039,2117,550,False,18-08-2020 06:37,OMG!!! EXPOSED COVID-19 VACCINE INGREDIENTS WILL SURPRISE YOU https://t.co/FAmQj2rofm via @YouTube VERY INFORMATIVE… https://t.co/lQPPocN46s,,Twitter for iPhone,False
Surajkumar,,,27-07-2016 07:10,52,87,12072,False,18-08-2020 06:00,"Pro killing babies party on this week please watch , @MMFlint @MichelleObama @springsteen @BarackObama… https://t.co/AhNoTTiAFG",,Twitter for iPhone,False
Factly,"Hyderabad, Telangana","Well known Public Information & Fact-Checking Initiative. Signatory of the IFCN Code of Principles @factchecknet For fact-checks in Telugu, follow @factlytelugu",29-11-2014 12:07,3798,54,188,True,18-08-2020 05:55,"#CovidVaccine 29 Candidates begin trials and 6 of them at phase-3 of clinical trials.

https://t.co/q8X0nsD50Y",['CovidVaccine'],Twitter Web App,False
World School of Bangladesh,Bangladesh,An online education platform to provide world-class quality education for all Bangladeshi students.,10-08-2020 03:43,9,61,4,False,18-08-2020 05:49,"COVID-19 Vocabulary English: Infectious. 
Click here : https://t.co/DFRN5Vgr72 via @YouTube 

#COVID19 
#COVID__19… https://t.co/mff9xZzyHd","['COVID19', 'COVID__19']",Twitter Web App,False
Deepak Sakpal,Mumbai - India,Full time Parent | Photography | Equity Trading | Banking |Fan of single screen cinema | Cars |Not necessarily in the order as given | Insta: @ picture_n_frames,07-05-2010 08:26,68,100,939,False,18-08-2020 05:45,"phase 3 trials begin in next 7-10 days, what does it mean for a vaccine which is already launched. :( #CovidVaccine… https://t.co/yKVon5bqX0",['CovidVaccine'],Twitter Web App,False
Sci-Fi Tech X,"Mumbai, India",Sci-Fi Tech X helps young people make confident and informed decisions about their future.,24-07-2020 16:51,14,0,105,False,18-08-2020 05:29,"""A single vaccination with ChAdOx1 nCoV-19 induced a humoral and cellular immune response in rhesus macaques,"" the… https://t.co/QBf0k2Ds05",,Twitter for Android,False
𝙆𝘼𝘼𝙉𝙔𝘼 🇪 🇦 🇸 🇹 🌹🖐️Ⓜ️🚫,Hipokrichhistan,"Woke @ 3.69 | Hipokrichtt | JinnaNaxalUniversity |
Riot Co-ordinator @ Anti-Fart | BlackLikesMatter | Adam Weishutup, Karol Marx, George Sorrow r my ideal",03-11-2009 16:25,227,596,11072,False,18-08-2020 05:25,"Leaks from Russian lab 
#CovidVaccine https://t.co/Ygv1OZEMLF",['CovidVaccine'],Twitter for Android,False
INDIAN INTELLIGENCE NEWS--Exposing India's Enemies,,"Exposing all the enemies of India.
surveillance & spying of evil plans of India's enemies",20-07-2020 09:01,516,975,465,False,18-08-2020 05:25,"Serum Institute Of India starting phase 2 trails of Oxford-AstraZeneca vaccine this week
10 centres short listed ac… https://t.co/Mq9LRVzNFa",,Twitter for Android,False
Ramil Isgandarli,Baku ,"More than 15 years of project management and 10 years of consultancy experience in rule of law, human rights, legal research and access to justice.",05-01-2018 04:36,145,761,135,False,18-08-2020 04:49,"Preparations to #COVID19 related 31st special session of #UNGA, initiated by #Azerbaijan and #NAM is going on.… https://t.co/z1vYGjaoBH","['COVID19', 'UNGA', 'Azerbaijan', 'NAM']",Twitter Web App,False
World School of Bangladesh,Bangladesh,An online education platform to provide world-class quality education for all Bangladeshi students.,10-08-2020 03:43,9,61,4,False,18-08-2020 04:47,"COVID-19 Vocabulary English: Outbreak.

Click here : https://t.co/bOU5xkMpxC via @YouTube
 
 #COVID19 
#COVID__19… https://t.co/9Mk7ykMTYN","['COVID19', 'COVID__19']",Twitter Web App,False
Gettodoor,,"Along with the latest updates of surrounding activity , We provide quotes, blogs and opportunity for everyone to share their personal experience in positive way",04-06-2020 07:12,49,413,79,False,18-08-2020 04:40,"""You must tell yourself, no matter how hard it is,or how hard it gets,I am going to make it""@Gettodoor1 #VoreDay… https://t.co/XrYjsUirKz",['VoreDay'],Twitter for Android,False
Invincible India,,"Co-Founder | Student of Market | Fundamental & Technical Investor | Warren Buffet Follower | Value & Moat Investing  | Investor, Traider & Trainer by Passion.",01-08-2020 18:31,10,6,11,False,18-08-2020 04:31,India records decline in daily Coronavirus cases for 3rd day in a row!!! #Corona #RussianVaccine #CovidVaccine,"['Corona', 'RussianVaccine', 'CovidVaccine']",Twitter for Android,False
TV9 Kannada,"Bengaluru, INDIA",News & Infotainment,19-05-2010 06:36,221883,8,525,True,18-08-2020 04:31,"COVID-19: Human Trails of desi Vaccine begin in Belagavi

Video Link ►https://t.co/Bc0dT7vajM

#TV9Kannada… https://t.co/rAiZO6BYE4",['TV9Kannada'],Twitter Web App,False
Michael Angelo,,International Research-Medicine and Medical Sciences,18-03-2020 04:52,4,103,6,False,18-08-2020 04:30,"#Coronavirus #vaccines update  After Russia, #China grants patent to #CanSino vaccine,  phase III testing underway… https://t.co/OSVnAww5lK","['Coronavirus', 'vaccines', 'China', 'CanSino']",Twitter Web App,False
Magzter,"New York, USA",Magzter is the world’s largest digital reading destination that offers thousands of magazines and newspapers. Enjoy reading on iOS/Android devices and the web!,23-12-2010 13:55,5522,1552,448,False,18-08-2020 04:20,#Russia produces first batch of #Covid vax; set to roll out from August endhttps://www.magzter.com/article/Newspape… https://t.co/H0aEFUJOo8,"['Russia', 'Covid']",TweetDeck,False
@TheCupIsNice,"Las Vegas, NV","All of the Wrestling Companys,🏀,⚾,🏈,👊MMA and ⚽ is ok .... And🏒",22-06-2019 06:22,55,1366,7591,False,18-08-2020 03:51,@realDonaldTrump your gonna go down as the worst President of all time... All you did in 4 years is dodge Stormy Da… https://t.co/iDbMKggxvQ,,Twitter for Android,False
Voice Of India 🇮🇳💯,,"Your Destination to Check Every Wrong Doing Of Pakistan.
Youtube Channel - https://t.co/RRejFvttmv",12-05-2020 06:46,2017,2239,2901,False,18-08-2020 03:37,Serum Institute Of India starting phase 2 trails of the Oxford-AstraZeneca vaccine this week. 10 centres short list… https://t.co/E6uER9A4aT,,Twitter Web App,False
Jamie Ooooo,United States,"We live in a culture where everything tastes good, but nothing satisfies.",28-05-2015 04:20,384,1020,6401,False,18-08-2020 03:14,Just so we’re clear on how I feel about a #covidvaccine https://t.co/0jSI8gGQKP,['covidvaccine'],Twitter for iPhone,False
Tony Rush,HELLAFORNIA,"Don’t pay for what you do, Get paid for what you do!",27-09-2011 03:59,140,219,126,False,18-08-2020 03:07,"Underground Hip Hop

#Hiphop #InstrumentalMusic #undergroundhiphop #boombap #hiphopbeats #hiphopculture #lofihiphop… https://t.co/y3Eeil4rDt","['Hiphop', 'InstrumentalMusic', 'undergroundhiphop', 'boombap', 'hiphopbeats', 'hiphopculture', 'lofihiphop']",Twitter for iPhone,False
krishna melkaveri,Hyderabad ,"Senior citizen 
Proud Indian.
Tweets and views  are Personal .",10-05-2010 05:21,45,53,3289,False,18-08-2020 03:01,"#CovidVaccine- Scare!!Be careful 
Russia and China has itself approved a novel Coronavirus vaccine in a similar fas… https://t.co/iRZrHbOzZs",['CovidVaccine'],Twitter for Android,False
Duvar English,"İstanbul, Türkiye",Turkey's own independent gazette,18-10-2019 09:17,17401,1,13,False,18-08-2020 03:00,"Turkey, Russia discuss cooperation on Moscow’s coronavirus vaccine #COVID19 #CovidVaccine
https://t.co/NE994CCbgn https://t.co/2fynnacIiE","['COVID19', 'CovidVaccine']",TweetDeck,False
The Little Saga,India,"THE LITTLE SAGA is all about news, opinions and stories from around the world. Stay informed, entertained and opinionated.",19-07-2020 13:30,89,102,194,False,18-08-2020 02:39,The national expert group on vaccine administration for COVID-19 met representatives of leading domestic manufactur… https://t.co/LousXXuqZH,,Twitter Web App,False
Mark King,Dasma Cavite,Independent Independent Travel Agent & exposer of the truth,10-08-2011 12:57,302,499,1523,False,18-08-2020 02:33,"So glad it works 

#Covid_19 #covidph #RussianVaccine #CovidVaccine #PhilHealthcorruption https://t.co/kpHnWweJ0i","['Covid_19', 'covidph', 'RussianVaccine', 'CovidVaccine', 'PhilHealthcorruption']",Twitter for iPad,False
Sandra,,"lithuanian girl, mom , peace advocate, happy happy happy",18-09-2016 15:24,66,317,2419,False,18-08-2020 02:32,USA doctors wake up #CovidVaccine https://t.co/QjVClsd6MC,['CovidVaccine'],Twitter for iPhone,False
अंगद (+18),"London, England",A victim of my own goodness | English | French,26-07-2019 05:04,8557,227,93,False,18-08-2020 02:06,"When I see the corona recovery is going better in here.
#covidinengland #coronavirus #england #CovidVaccine https://t.co/yxed28kVpy","['covidinengland', 'coronavirus', 'england', 'CovidVaccine']",Twitter for iPhone,False
Ⓜanoj Kumar Sharma,India,Assistant Chief Content Editor at E TV Bharat,13-03-2012 11:01,470,67,5234,False,18-08-2020 01:55,"The National Sports Awards likely to be held virtually due to COVID VIRUS pandemic

#COVID19
#CovidVaccine… https://t.co/tmLvMZEdlM","['COVID19', 'CovidVaccine']",Twitter for Android,False
Dr. John Whyte,"Washington, DC","Physician, Author, Chief Medical Officer @WebMD I am passionate about changing how we think about #Health. Views my own.",15-02-2015 16:51,46003,8479,11272,True,18-08-2020 01:52,We must have adequate representation in these vaccine trials.  #vaccinetrials #covidvaccine https://t.co/Z7BioCBpDs,"['vaccinetrials', 'covidvaccine']",Twitter for iPhone,False
Stephen Mitchell,"Deepest, darkest Victoria","Writer. What I lack in hard facts, I make up for in imagination. Not exactly reliable, I admit.",04-01-2012 11:09,58,75,3598,False,18-08-2020 01:45,"""...Get ready for a long wait. Even if the Australian Government signs an advanced purchase agreement to secure pri… https://t.co/4IFfrJ8S4J",,Twitter for Android,False
chitranjan singh nathawat,"Jaipur, India",I don't think a tough question is disrespectful.,14-06-2018 06:25,15,209,91,False,18-08-2020 01:39,"“Journalism can never be silent: That is its greatest virtue and its greatest fault. It must speak, and speak immed… https://t.co/uvbKuQ5f3g",,Twitter for Android,False
City Visions Radio,San Francisco ,local live call-in radio with Bay Area creators thinkers activists & innovators that moves critical conversations forward NOW ON MONDAYS at 6pm @KALW,03-05-2009 22:35,313,625,344,False,18-08-2020 01:04,Now at https://t.co/86d419hWQF Peter Chin-Hong and Erin Allday #COVID19 discuss how the Bay Area is doing this week… https://t.co/s64UP3SE3u,['COVID19'],Twitter for iPhone,False
jimmyrails,,"Truth-teller, false-narrative-disrupter & environmentalist. 
I ride the rails to earn my keep & pay my bills. Smh.",15-03-2020 01:43,41,24,979,False,18-08-2020 00:24,"#CovidVaccine will b mandatory 4 those in schools, once avail.
Meantime NYC tells-U-2-report-2-school like cattle 2… https://t.co/rjCmYgZBht",['CovidVaccine'],Twitter Web App,False
sexual retard,,"poet, loser, loner, toilet paper, ass breaker, wildliar and most importantly I hate sex",17-08-2012 01:42,123,128,1473,False,17-08-2020 23:40,The beautiful heat is killing covid-19 in Los Angeles #CovidVaccine,['CovidVaccine'],Twitter for Android,False
Dov Samuel,Los Angeles,The universe is left handed. Film Editing.  VISTOW https://t.co/snpAPqU259,11-02-2011 19:49,176,397,19767,False,17-08-2020 23:39,Pfizer is looking to sign up people for a covid vaccine study. You get a drug or a placebo. Then OVER THE NEXT 2 YE… https://t.co/Alht77F81g,,Twitter for iPhone,False
Immigration & Citizenship Program,"San Jose, CA",We provide high-quality immigration and citizenship services and promote and strengthen civic involvement among the immigrant population.,12-02-2020 20:51,53,361,372,False,17-08-2020 22:45,"#immigration #COVID19 #CovidVaccine #2020Census So much is at stake during our next #2020election, we urge everyone… https://t.co/oDrSijIejr","['immigration', 'COVID19', 'CovidVaccine', '2020Census', '2020election']",Twitter Web App,False
Michi,,Me,16-07-2020 03:33,1,45,132,False,17-08-2020 22:40,"If you’ve been wondering how virus mutation might impact vaccine efficacy, here is the latest:

#CovidVaccine… https://t.co/tbwzw6KZ2K",['CovidVaccine'],Twitter for iPhone,False
The Atomist,,"Studied comparative religion & the secret teachings since 94. Live Free or Die. The 2nd American revolution is upon us, do your part.",17-01-2020 22:19,58,138,579,False,17-08-2020 22:21,@DeAnna4Congress Only thing the vaccine is going to do is give you the fly hairs growing on your back. #BrundleFly #CovidVaccine,"['BrundleFly', 'CovidVaccine']",Twitter for iPhone,False
Linksbridge,"Seattle, USA","Global health and development research, advisory, analytic, creative services. Make sure to sign up for our newsletter: https://t.co/BUhOuJTcFZ",31-01-2010 05:18,188,212,36,False,17-08-2020 22:11,Brazil's state-run Oswaldo Cruz Foundation (@fiocruz) will commence production in December of an initial 100 millio… https://t.co/NHMuExZCOx,,Twitter Web App,False
Damo Pelham🦈,"Lake Grace, Western Australia","Country Lad, Family, Grain, Manganese, Mineral Sands.",06-05-2019 23:40,5032,2009,70542,False,17-08-2020 22:06,"#Wuhan CHINA 

China ended LOCKDOWNS 7/April. Either China already made the VAXX before they UNLEASHED #COVID19 on… https://t.co/4mVi49h3Ku","['Wuhan', 'COVID19']",Twitter for iPhone,False
not_herd_hot_nerd,Canada,,02-09-2014 23:11,131,260,6226,False,17-08-2020 21:59,HCQ works when given early and/or as a preventative measure. #lancetgate #CERB #DefendTheNorth #coronavirus… https://t.co/QC74RIpMNF,"['lancetgate', 'CERB', 'DefendTheNorth', 'coronavirus']",Twitter for iPhone,False
pete,Earth,I am,07-02-2020 15:24,5,67,451,False,17-08-2020 21:48,Saw this thought it was funny #vaccines #CovidVaccine #BillGatesIsNotADoctor https://t.co/JZWxw7Rjqo,"['vaccines', 'CovidVaccine', 'BillGatesIsNotADoctor']",Twitter for iPhone,False
Rohit Gopalakrishnan,,Musician,06-08-2020 14:27,4,17,1,False,17-08-2020 21:44,"Marainthu pogum subtitle has been added..
Link - https://t.co/8M05LvIscp
#marainthupogum #fightagainstcorona… https://t.co/x674NugJoi","['marainthupogum', 'fightagainstcorona']",Twitter for iPhone,False
Ginni ✝️🕷🇬🇧🇪🇺,,"Christian, wife, mum, Stroke SLT, kids worker, book lover, fragile x mum, cricket, YFC, reader, Rejoiner, learning Spanish to stick it to the man, Opinions mine",17-10-2012 07:29,483,798,5689,False,17-08-2020 21:33,More coronavirus vaccine volunteers needed #vaccine #COVID19 #CovidVaccine https://t.co/C1XZuazC5S,"['vaccine', 'COVID19', 'CovidVaccine']",Twitter for iPhone,False
John winston,,,29-10-2019 01:15,10,134,592,False,17-08-2020 21:15,"In 2018 there were 50,000 deaths in the UK from flu.
We are currently at 41,000- and that is with months of dodgy r… https://t.co/smbBKCGIag",,Twitter for iPhone,False
Public Seminar,New York,Informing debate by any means necessary. A publication hosted by @NSSRnews.,08-09-2013 23:37,4131,932,1266,False,17-08-2020 21:10,"""A vaccine can protect us from an infectious disease. It cannot, however, provide immunity from the multiple person… https://t.co/DjpYWZFp9O",,Twitter Web App,False
Michael James🇺🇸,I'm on a plane...🗺,"#JesusIsLord #USAF Vet #oathkeeper taking my country back #MessianicJew 🕎
#MS =MERCURY POISON!  
#Aliens are really #Demons
#MAGA Isaiah 6:8
Matthew 10:22🕆",14-09-2016 03:30,6889,7620,28428,False,17-08-2020 20:58,"Important regarding #vaccines 
#CovidVaccine

https://t.co/AjW3ry9V28","['vaccines', 'CovidVaccine']",Twitter for Android,False
AIM,D.C. Metro ,Association of Immunization Managers | AIM represents immunization programs to promote effective immunization policies and practices | links/RTs ≠ endorsement,03-06-2013 14:52,387,264,63,False,17-08-2020 20:45,"Federal officials are working with California, Florida, Minnesota, North Dakota, &amp; Philadelphia to develop plans to… https://t.co/4ytTyCd3eB",,Twitter Web App,False
DATELINE NIGERIA,,Dateline News Nigeria,28-11-2019 05:55,49,163,16,False,17-08-2020 20:41,China’s first patent granted for COVID-19 #vaccine https://t.co/MnXk0Y00KY #CoronavirusVaccine #CovidVaccine,"['vaccine', 'CoronavirusVaccine', 'CovidVaccine']",Hootsuite Inc.,False
Varun Bansal,India,"Hi, am fun loving person with intentions to do some part time business online. Looking for ppl who cud help me in my ventures...

Also, I love helping people.",07-11-2009 08:38,620,6,43,False,17-08-2020 20:11,"Do you trust #Russia &amp; #VladimirPutin on #RussianVaccine for #coronavirus ?

#russiavaccine #RussiaReport #COVID19… https://t.co/CkDBE5HejA","['Russia', 'VladimirPutin', 'RussianVaccine', 'coronavirus', 'russiavaccine', 'RussiaReport', 'COVID19']",Twitter Web App,False
Haskins_Elizondo,"McAllen, TX, Monterrey, MX",No longer working so I can tweet whatever the hell I want 👍🏻😇😈,03-05-2012 23:00,466,204,18054,False,17-08-2020 19:53,"Just received my tracking implant err, I mean the experimental #CovidVaccine 😅
Now waiting for any immediate side e… https://t.co/IOW2xzL6t2",['CovidVaccine'],Twitter for iPhone,False
zhunka_bhakar,,"bakkar krna hai, toh krna hai..",09-02-2020 16:35,1,30,31,False,17-08-2020 19:40,"Corona awareness caller tune is ten times more infectious.

#COVID2019 #India
#indianmemes #KapilSharma
#meme… https://t.co/O6kaXanxW5","['COVID2019', 'India', 'indianmemes', 'KapilSharma', 'meme']",Twitter for Android,False
Duvar English,"İstanbul, Türkiye",Turkey's own independent gazette,18-10-2019 09:17,17401,1,13,False,17-08-2020 19:40,President Recep Tayyip Erdoğan and Russian President Vladimir Putin have discussed cooperation on Moscow’s recently… https://t.co/J8sOsWQC1I,,TweetDeck,False
